ResourceID,AdminArea,AdminAreaType,Timestamp,ID
MLO100156,Barnet,Borough,00 00 00 00 00 13 94 2F ,35393
MLO100158,Southwark,Borough,00 00 00 00 00 13 C2 5B ,47167
MLO100159,Southwark,Borough,00 00 00 00 00 13 D9 7B ,53064
MLO10016,River Thames,Borough,00 00 00 00 00 13 94 30 ,35394
MLO10016,Wandsworth,Borough,00 00 00 00 00 13 94 31 ,35395
MLO100160,Southwark,Borough,00 00 00 00 00 13 09 78 ,21
MLO100161,Harrow,Borough,00 00 00 00 00 13 20 B0 ,5942
MLO100162,Camden,Borough,00 00 00 00 00 13 37 F1 ,11872
MLO100163,Southwark,Borough,00 00 00 00 00 13 4E F6 ,17742
MLO100164,Southwark,Borough,00 00 00 00 00 13 66 15 ,23637
MLO100165,Southwark,Borough,00 00 00 00 00 13 7D 45 ,29550
MLO100167,Southwark,Borough,00 00 00 00 00 13 AB 43 ,41278
MLO100168,Southwark,Borough,00 00 00 00 00 13 C2 5C ,47168
MLO100169,Hillingdon,Borough,00 00 00 00 00 13 D9 7C ,53065
MLO10017,River Thames,Borough,00 00 00 00 00 13 AB 44 ,41279
MLO10017,Wandsworth,Borough,00 00 00 00 00 13 AB 45 ,41280
MLO100170,Southwark,Borough,00 00 00 00 00 13 09 79 ,22
MLO100171,Southwark,Borough,00 00 00 00 00 13 20 B1 ,5943
MLO100172,Southwark,Borough,00 00 00 00 00 13 37 F2 ,11873
MLO100173,Southwark,Borough,00 00 00 00 00 13 4E F7 ,17743
MLO100174,Harrow,Borough,00 00 00 00 00 13 66 16 ,23638
MLO100175,Harrow,Borough,00 00 00 00 00 13 7D 46 ,29551
MLO100176,Harrow,Borough,00 00 00 00 00 13 94 32 ,35396
MLO100177,Harrow,Borough,00 00 00 00 00 13 AB 46 ,41281
MLO100178,Harrow,Borough,00 00 00 00 00 13 C2 5D ,47169
MLO100179,Southwark,Borough,00 00 00 00 00 13 D9 7D ,53066
MLO10018,River Thames,Borough,00 00 00 00 00 13 C2 5E ,47170
MLO10018,Wandsworth,Borough,00 00 00 00 00 13 C2 5F ,47171
MLO100182,Southwark,Borough,00 00 00 00 00 13 37 F3 ,11874
MLO100183,Southwark,Borough,00 00 00 00 00 13 4E F8 ,17744
MLO100184,Barnet,Borough,00 00 00 00 00 13 66 17 ,23639
MLO100185,Southwark,Borough,00 00 00 00 00 13 7D 47 ,29552
MLO100186,Southwark,Borough,00 00 00 00 00 13 94 33 ,35397
MLO100187,Hillingdon,Borough,00 00 00 00 00 13 AB 47 ,41282
MLO100188,Hillingdon,Borough,00 00 00 00 00 13 C2 60 ,47172
MLO100189,Hillingdon,Borough,00 00 00 00 00 13 D9 7E ,53067
MLO10019,River Thames,Borough,00 00 00 00 00 13 D9 7F ,53068
MLO10019,Wandsworth,Borough,00 00 00 00 00 13 D9 80 ,53069
MLO100190,Hillingdon,Borough,00 00 00 00 00 13 09 7A ,23
MLO100191,Southwark,Borough,00 00 00 00 00 13 20 B2 ,5944
MLO100192,Newham,Borough,00 00 00 00 00 13 37 F4 ,11875
MLO100193,Southwark,Borough,00 00 00 00 00 13 4E F9 ,17745
MLO100194,Barnet,Borough,00 00 00 00 00 13 66 18 ,23640
MLO100195,Barnet,Borough,00 00 00 00 00 13 7D 48 ,29553
MLO100196,Southwark,Borough,00 00 00 00 00 13 94 34 ,35398
MLO100197,Southwark,Borough,00 00 00 00 00 13 AB 48 ,41283
MLO100198,Southwark,Borough,00 00 00 00 00 13 C2 61 ,47173
MLO100199,Southwark,Borough,00 00 00 00 00 13 D9 81 ,53070
MLO10020,River Thames,Borough,00 00 00 00 00 13 09 7B ,24
MLO10020,Wandsworth,Borough,00 00 00 00 00 13 09 7C ,25
MLO100200,Southwark,Borough,00 00 00 00 00 13 09 7D ,26
MLO100201,Southwark,Borough,00 00 00 00 00 13 20 B3 ,5945
MLO100202,Southwark,Borough,00 00 00 00 00 13 37 F5 ,11876
MLO100203,Southwark,Borough,00 00 00 00 00 13 4E FA ,17746
MLO100204,Southwark,Borough,00 00 00 00 00 13 66 19 ,23641
MLO100205,Southwark,Borough,00 00 00 00 00 13 7D 49 ,29554
MLO100206,Southwark,Borough,00 00 00 00 00 13 94 35 ,35399
MLO100207,Southwark,Borough,00 00 00 00 00 13 AB 49 ,41284
MLO100208,Southwark,Borough,00 00 00 00 00 13 C2 62 ,47174
MLO100209,Southwark,Borough,00 00 00 00 00 13 D9 82 ,53071
MLO100210,Southwark,Borough,00 00 00 00 00 13 09 7E ,27
MLO100211,Southwark,Borough,00 00 00 00 00 13 20 B4 ,5946
MLO100213,Barnet,Borough,00 00 00 00 00 13 4E FB ,17747
MLO100214,Ealing,Borough,00 00 00 00 00 13 66 1A ,23642
MLO100215,Essex,County,00 00 00 00 00 13 7D 4A ,29555
MLO100216,Southwark,Borough,00 00 00 00 00 13 94 36 ,35400
MLO100217,Southwark,Borough,00 00 00 00 00 13 AB 4A ,41285
MLO100218,Southwark,Borough,00 00 00 00 00 13 C2 63 ,47175
MLO100219,Southwark,Borough,00 00 00 00 00 13 D9 83 ,53072
MLO10022,River Thames,Borough,00 00 00 00 00 13 37 F6 ,11877
MLO10022,Wandsworth,Borough,00 00 00 00 00 13 37 F7 ,11878
MLO100220,Southwark,Borough,00 00 00 00 00 13 09 7F ,28
MLO100221,Barnet,Borough,00 00 00 00 00 13 20 B5 ,5947
MLO100222,Southwark,Borough,00 00 00 00 00 13 37 F8 ,11879
MLO100223,Hounslow,Borough,00 00 00 00 00 13 4E FC ,17748
MLO100223,River Thames,Borough,00 00 00 00 00 13 4E FD ,17749
MLO100224,Southwark,Borough,00 00 00 00 00 13 66 1B ,23643
MLO100225,Southwark,Borough,00 00 00 00 00 13 7D 4B ,29556
MLO100226,Southwark,Borough,00 00 00 00 00 13 94 37 ,35401
MLO100227,Southwark,Borough,00 00 00 00 00 13 AB 4B ,41286
MLO100228,Southwark,Borough,00 00 00 00 00 13 C2 64 ,47176
MLO100229,Southwark,Borough,00 00 00 00 00 13 D9 84 ,53073
MLO10023,River Thames,Borough,00 00 00 00 00 13 4E FE ,17750
MLO10023,Wandsworth,Borough,00 00 00 00 00 13 4E FF ,17751
MLO100230,Southwark,Borough,00 00 00 00 00 13 09 80 ,29
MLO100231,Southwark,Borough,00 00 00 00 00 13 20 B6 ,5948
MLO100232,Southwark,Borough,00 00 00 00 00 13 37 F9 ,11880
MLO100233,Southwark,Borough,00 00 00 00 00 13 4F 01 ,17752
MLO100235,Southwark,Borough,00 00 00 00 00 13 7D 4C ,29557
MLO100236,Southwark,Borough,00 00 00 00 00 13 94 38 ,35402
MLO100237,Southwark,Borough,00 00 00 00 00 13 AB 4C ,41287
MLO100238,Southwark,Borough,00 00 00 00 00 13 C2 65 ,47177
MLO100239,Southwark,Borough,00 00 00 00 00 13 D9 85 ,53074
MLO10024,River Thames,Borough,00 00 00 00 00 13 66 1C ,23644
MLO10024,Wandsworth,Borough,00 00 00 00 00 13 66 1D ,23645
MLO100240,Southwark,Borough,00 00 00 00 00 13 09 81 ,30
MLO100241,Southwark,Borough,00 00 00 00 00 13 20 B7 ,5949
MLO100242,Hounslow,Borough,00 00 00 00 00 13 37 FA ,11881
MLO100243,Southwark,Borough,00 00 00 00 00 13 4F 02 ,17753
MLO100244,Southwark,Borough,00 00 00 00 00 13 66 1E ,23646
MLO100245,Southwark,Borough,00 00 00 00 00 13 7D 4D ,29558
MLO100246,Southwark,Borough,00 00 00 00 00 13 94 39 ,35403
MLO100247,Southwark,Borough,00 00 00 00 00 13 AB 4D ,41288
MLO100248,Southwark,Borough,00 00 00 00 00 13 C2 66 ,47178
MLO100249,Southwark,Borough,00 00 00 00 00 13 D9 86 ,53075
MLO10025,River Thames,Borough,00 00 00 00 00 13 7D 4E ,29559
MLO10025,Wandsworth,Borough,00 00 00 00 00 13 7D 4F ,29560
MLO100250,Barnet,Borough,00 00 00 00 00 13 09 82 ,31
MLO100251,Barnet,Borough,00 00 00 00 00 13 20 B8 ,5950
MLO100252,Hounslow,Borough,00 00 00 00 00 13 37 FB ,11882
MLO100252,River Thames,Borough,00 00 00 00 00 13 37 FC ,11883
MLO100253,Southwark,Borough,00 00 00 00 00 13 4F 03 ,17754
MLO100254,Southwark,Borough,00 00 00 00 00 13 66 1F ,23647
MLO100255,Southwark,Borough,00 00 00 00 00 13 7D 50 ,29561
MLO100256,Southwark,Borough,00 00 00 00 00 13 94 3A ,35404
MLO100257,Southwark,Borough,00 00 00 00 00 13 AB 4E ,41289
MLO100258,Southwark,Borough,00 00 00 00 00 13 C2 67 ,47179
MLO100259,Southwark,Borough,00 00 00 00 00 13 D9 87 ,53076
MLO10026,River Thames,Borough,00 00 00 00 00 13 94 3B ,35405
MLO10026,Wandsworth,Borough,00 00 00 00 00 13 94 3C ,35406
MLO100260,Southwark,Borough,00 00 00 00 00 13 09 83 ,32
MLO100261,Southwark,Borough,00 00 00 00 00 13 20 B9 ,5951
MLO100262,Southwark,Borough,00 00 00 00 00 13 37 FD ,11884
MLO100263,Hounslow,Borough,00 00 00 00 00 13 4F 04 ,17755
MLO100263,River Thames,Borough,00 00 00 00 00 13 4F 05 ,17756
MLO100264,Southwark,Borough,00 00 00 00 00 13 66 20 ,23648
MLO100265,Southwark,Borough,00 00 00 00 00 13 7D 51 ,29562
MLO100266,Southwark,Borough,00 00 00 00 00 13 94 3D ,35407
MLO100267,Barnet,Borough,00 00 00 00 00 13 AB 4F ,41290
MLO100268,Barnet,Borough,00 00 00 00 00 13 C2 68 ,47180
MLO100269,Barnet,Borough,00 00 00 00 00 13 D9 88 ,53077
MLO10027,River Thames,Borough,00 00 00 00 00 13 AB 50 ,41291
MLO10027,Wandsworth,Borough,00 00 00 00 00 13 AB 51 ,41292
MLO100270,Barnet,Borough,00 00 00 00 00 13 09 84 ,33
MLO100271,Southwark,Borough,00 00 00 00 00 13 20 BA ,5952
MLO100272,Southwark,Borough,00 00 00 00 00 13 37 FE ,11885
MLO100273,Southwark,Borough,00 00 00 00 00 13 4F 06 ,17757
MLO100274,Southwark,Borough,00 00 00 00 00 13 66 21 ,23649
MLO100275,Southwark,Borough,00 00 00 00 00 13 7D 52 ,29563
MLO100276,Southwark,Borough,00 00 00 00 00 13 94 3E ,35408
MLO100277,Southwark,Borough,00 00 00 00 00 13 AB 52 ,41293
MLO100278,Hounslow,Borough,00 00 00 00 00 13 C2 69 ,47181
MLO100278,River Thames,Borough,00 00 00 00 00 13 C2 6A ,47182
MLO100279,Hounslow,Borough,00 00 00 00 00 13 D9 89 ,53078
